Participant_Number,Trial_Number,Condition,FC,Target_Contrast,Correct_Response,Reaction_Time
4,0,Seperate,0.1,0.1,1,0.9395468779999874
4,1,Seperate,0.1,0.07943282347242815,1,0.11873708299998498
4,2,Seperate,0.1,0.06309573444801932,1,0.48271353599997724
4,3,Seperate,0.1,0.05011872336272722,1,0.5003408229999877
4,4,Seperate,0.1,0.03981071705534971,1,0.423829985999987
4,5,Seperate,0.1,0.031622776601683784,1,0.3624478570000065
4,6,Seperate,0.1,0.02511886431509579,1,0.4460535949999951
4,7,Seperate,0.1,0.01995262314968879,1,0.4512847000000022
4,8,Seperate,0.1,0.015848931924611127,1,0.4152698419999865
4,9,Seperate_null,0.1,0.1,1,0.7203341789999911
4,10,Seperate,0.1,0.012589254117941666,0,0.8382129039999882
4,11,Seperate_null,0.1,0.07943282347242815,1,1.207658503999994
4,12,Seperate,0.1,0.015848931924611127,1,0.45106038599999465
4,13,Seperate,0.1,0.012589254117941666,0,0.49919166300000484
4,14,Seperate,0.1,0.015848931924611127,1,0.5748757490000003
4,15,Seperate,0.1,0.012589254117941666,0,0.7381160160000206
4,16,Seperate,0.1,0.015848931924611127,1,0.5162120349999952
4,17,Seperate,0.1,0.012589254117941666,0,0.6869226690000119
4,18,Seperate,0.1,0.015848931924611127,1,0.4986599399999818
4,19,Seperate_null,0.1,0.06309573444801932,1,0.48639101800000617
4,20,Seperate,0.1,0.012589254117941666,0,99
4,21,Seperate,0.1,0.015848931924611127,1,0.6434891920000041
4,22,Seperate,0.1,0.012589254117941666,0,0.7021593320000079
4,23,Seperate_null,0.1,0.05011872336272722,1,0.6809244899999953
4,24,Seperate,0.1,0.015848931924611127,1,0.30834436300000334
4,25,Seperate,0.1,0.012589254117941666,0,0.5833885099999918
4,26,Seperate,0.1,0.015848931924611127,1,0.4672312479999903
4,27,Seperate,0.1,0.012589254117941666,0,0.6059061610000072
4,28,Seperate,0.1,0.015848931924611127,1,0.706697446000021
4,29,Seperate,0.1,0.012589254117941666,0,0.5675709850000032
4,30,Seperate,0.1,0.015848931924611127,1,0.5612728970000092
4,31,Seperate,0.1,0.012589254117941666,1,0.5405776439999954
4,32,Seperate,0.1,0.009999999999999995,0,99
4,33,Seperate,0.1,0.012589254117941666,0,0.48841217499997924
4,34,Seperate,0.1,0.015848931924611127,1,0.7209742720000065
4,35,Seperate_null,0.1,0.03981071705534971,1,0.8359993489999908
4,36,Seperate,0.1,0.012589254117941666,0,0.7663731489999748
4,37,Seperate,0.1,0.015848931924611127,1,0.5858289150000076
4,38,Seperate,0.1,0.012589254117941666,1,0.4057727770000099
4,39,Seperate,0.1,0.009999999999999995,1,0.505439774999985
4,40,Seperate,0.1,0.00794328234724281,0,0.6282123019999801
4,41,Seperate,0.1,0.009999999999999995,0,0.4234828290000223
4,42,Seperate,0.1,0.012589254117941666,0,0.29634426499998767
4,43,Seperate_null,0.1,0.031622776601683784,1,0.5154140150000046
4,44,Seperate,0.1,0.015848931924611127,1,0.5558430359999988
4,45,Seperate,0.1,0.012589254117941666,1,0.5268926409999892
4,46,Seperate,0.1,0.009999999999999995,0,0.8105059799999879
4,47,Seperate,0.1,0.012589254117941666,1,0.38958537400000637
4,48,Seperate_null,0.1,0.02511886431509579,0,0.9123691980000217
4,49,Seperate,0.1,0.009999999999999995,0,0.6199404109999591
4,50,Seperate,0.1,0.012589254117941666,1,0.41536975999997594
4,51,Seperate,0.1,0.009999999999999995,0,1.1408109960000274
4,52,Seperate_null,0.1,0.031622776601683784,1,0.4655503810000141
4,53,Seperate,0.1,0.012589254117941666,0,0.29848928799998475
4,54,Seperate,0.1,0.015848931924611127,1,0.2611333490000334
4,55,Seperate,0.1,0.012589254117941666,1,0.3980029209999998
4,56,Seperate,0.1,0.009999999999999995,1,0.5057619149999937
4,57,Seperate,0.1,0.00794328234724281,0,0.26562733600002275
4,58,Seperate,0.1,0.009999999999999995,0,0.26889514100003
4,59,Seperate,0.1,0.012589254117941666,0,0.288307427999996
4,60,Seperate_null,0.1,0.02511886431509579,1,0.4478297130000328
4,61,Seperate,0.1,0.015848931924611127,0,0.31358399699996653
4,62,Seperate,0.1,0.01995262314968879,1,0.30004982900004507
4,63,Seperate,0.1,0.015848931924611127,1,0.43751350999997385
4,64,Seperate,0.1,0.012589254117941666,0,0.32843249400002605
4,65,Seperate,0.1,0.015848931924611127,1,0.289088199000048
4,66,Seperate,0.1,0.012589254117941666,1,0.37984447899998486
4,67,Seperate,0.1,0.009999999999999995,1,0.23954560100003164
4,68,Seperate,0.1,0.00794328234724281,0,0.3461982869999929
4,69,Seperate,0.1,0.009999999999999995,0,0.2782546340000067
4,70,Seperate,0.1,0.012589254117941666,0,0.2411909609999725
4,71,Seperate_null,0.1,0.01995262314968879,1,0.24584591199999295
4,72,Seperate,0.1,0.015848931924611127,0,0.17825803200003065
4,73,Seperate,0.1,0.01995262314968879,1,0.31938633599997956
4,74,Seperate,0.1,0.015848931924611127,1,0.4713540839999837
4,75,Seperate,0.1,0.012589254117941666,0,0.49904464000002235
4,76,Seperate_null,0.1,0.015848931924611127,1,0.2993208010000217
4,77,Seperate,0.1,0.015848931924611127,1,0.41462536899996394
4,78,Seperate,0.1,0.012589254117941666,0,0.3596858250000423
4,79,Seperate,0.1,0.015848931924611127,1,0.730920765999997
4,80,Seperate,0.1,0.012589254117941666,1,0.5208710769999811
4,81,Seperate,0.1,0.009999999999999995,0,0.32438614000000143
4,82,Seperate,0.1,0.012589254117941666,0,0.22567990900000723
4,83,Seperate,0.1,0.015848931924611127,0,0.002657811999995374
4,84,Seperate,0.1,0.01995262314968879,1,0.38951234099999965
4,85,Seperate,0.1,0.015848931924611127,1,0.6375553700000296
4,86,Seperate,0.1,0.012589254117941666,0,0.5934496200000012
4,87,Seperate,0.1,0.015848931924611127,1,0.361868678999997
4,88,Seperate,0.1,0.012589254117941666,1,0.213761556999998
4,89,Seperate,0.1,0.009999999999999995,0,0.2961083159999589
4,90,Seperate,0.1,0.012589254117941666,0,0.4121336959999553
4,91,Seperate,0.1,0.015848931924611127,0,0.702982760999987
4,92,Seperate,0.1,0.01995262314968879,1,0.5474018319999914
4,93,Seperate,0.1,0.015848931924611127,1,0.5357149660000005
4,94,Seperate,0.1,0.012589254117941666,0,0.8042220529999895
4,95,Seperate,0.1,0.015848931924611127,1,0.3283625610000058
4,96,Seperate,0.1,0.012589254117941666,0,0.4576371750000021
4,97,Seperate,0.1,0.015848931924611127,1,0.46800507700004346
4,98,Seperate,0.1,0.012589254117941666,1,0.364958941999987
4,99,Seperate,0.1,0.009999999999999995,1,0.367778732999966
4,100,Seperate,0.1,0.00794328234724281,1,0.6236147479999659
4,101,Seperate,0.1,0.0063095734448019285,0,0.41193500000002814
4,102,Seperate,0.1,0.00794328234724281,1,0.4210077120000051
4,103,Seperate,0.1,0.0063095734448019285,1,0.3127567960000306
4,104,Seperate,0.1,0.005011872336272719,0,0.2198499149999975
4,105,Seperate,0.1,0.0063095734448019285,0,0.15625267299998313
4,106,Seperate,0.1,0.00794328234724281,0,0.16828952800000252
4,107,Seperate,0.1,0.009999999999999995,0,99
4,108,Seperate,0.1,0.012589254117941666,1,0.42107966500003613
4,109,Seperate,0.1,0.009999999999999995,0,0.22427972400004137
4,110,Seperate_null,0.1,0.012589254117941666,1,0.507510251000042
4,111,Seperate,0.1,0.012589254117941666,0,0.4071482389999801
4,112,Seperate,0.1,0.015848931924611127,1,0.4128980899999988
4,113,Seperate,0.1,0.012589254117941666,0,0.7270633470000121
4,114,Seperate,0.1,0.015848931924611127,0,0.7311005459999933
4,115,Seperate,0.1,0.01995262314968879,1,0.5807599490000257
4,116,Seperate,0.1,0.015848931924611127,1,0.5362218309999776
4,117,Seperate_null,0.1,0.009999999999999995,1,0.45109137700001156
4,118,Seperate,0.1,0.012589254117941666,0,0.5003124609999645
4,119,Seperate,0.1,0.015848931924611127,1,0.7198567440000261
4,120,Seperate,0.1,0.012589254117941666,0,0.38311886200000345
4,121,Seperate,0.1,0.015848931924611127,1,0.5156026330000145
4,122,Seperate,0.1,0.012589254117941666,1,0.32561423900000364
4,123,Seperate,0.1,0.009999999999999995,0,0.5841359099999863
4,124,Seperate,0.1,0.012589254117941666,0,0.7874894770000083
4,125,Seperate,0.1,0.015848931924611127,1,0.28424282100002074
4,126,Seperate,0.1,0.012589254117941666,1,0.49527874700004304
4,127,Seperate,0.1,0.009999999999999995,0,0.4728781620000291
4,128,Seperate,0.1,0.012589254117941666,1,0.34104777200002445
4,129,Seperate,0.1,0.009999999999999995,0,0.3522357379999903
4,130,Seperate,0.1,0.012589254117941666,0,0.29193784599999617
4,131,Seperate,0.1,0.015848931924611127,1,0.8567441889999827
4,132,Seperate,0.1,0.012589254117941666,0,0.46938419700001077
4,133,Seperate,0.1,0.015848931924611127,0,0.43386200600002667
4,134,Seperate_null,0.1,0.00794328234724281,1,0.42800779099997044
4,135,Seperate,0.1,0.01995262314968879,1,0.3718893120000075
4,136,Seperate,0.1,0.015848931924611127,0,0.34336465999996335
4,137,Seperate,0.1,0.01995262314968879,0,0.4661172870000314
4,138,Seperate,0.1,0.025118864315095794,0,0.19504457400000774
4,139,Seperate,0.1,0.031622776601683784,1,0.31910170200001176
4,140,Seperate,0.1,0.02511886431509579,1,0.524487119000014
4,141,Seperate,0.1,0.01995262314968879,1,0.36022609500003
4,142,Seperate,0.1,0.015848931924611127,1,0.24002452000001995
4,143,Seperate,0.1,0.012589254117941666,0,0.4274616899999728
4,144,Seperate,0.1,0.015848931924611127,1,0.6145294369999874
4,145,Seperate,0.1,0.012589254117941666,0,0.4335406929999408
4,146,Seperate,0.1,0.015848931924611127,1,0.46104956199997105
4,147,Seperate,0.1,0.012589254117941666,0,0.32002714600002946
4,148,Seperate,0.1,0.015848931924611127,1,0.3633468300000686
4,149,Seperate,0.1,0.012589254117941666,0,0.6478995999999597
4,150,Seperate,0.1,0.015848931924611127,1,0.28502775599997676
4,151,Seperate,0.1,0.012589254117941666,0,0.5984765809999999
4,152,Seperate,0.1,0.015848931924611127,1,0.4582283770000686
4,153,Seperate,0.1,0.012589254117941666,1,0.37029661999997643
4,154,Seperate,0.1,0.009999999999999995,0,0.4699459769999521
4,155,Seperate,0.1,0.012589254117941666,0,0.614288092000038
4,156,Seperate,0.1,0.015848931924611127,1,0.48938360400006786
4,157,Seperate,0.1,0.012589254117941666,0,0.5160308700000087
4,158,Seperate_null,0.1,0.0063095734448019285,1,0.4231306570000015
4,159,Seperate,0.1,0.015848931924611127,1,0.40300407000006544
4,160,Seperate,0.1,0.012589254117941666,0,0.2913598819999379
4,161,Seperate,0.1,0.015848931924611127,1,0.4870443309999928
4,162,Seperate,0.1,0.012589254117941666,0,0.3032060680000086
4,163,Seperate,0.1,0.015848931924611127,1,0.33907983200003855
4,164,Seperate,0.1,0.012589254117941666,0,0.4592936980000104
4,165,Seperate,0.1,0.015848931924611127,1,0.41489308699999583
4,166,Seperate,0.1,0.012589254117941666,0,0.4734886590000542
4,167,Seperate,0.1,0.015848931924611127,1,0.4530661109999983
4,168,Seperate,0.1,0.012589254117941666,1,0.431586836000065
4,169,Seperate,0.1,0.009999999999999995,0,0.4358120509999708
4,170,Seperate_null,0.1,0.005011872336272719,1,0.43990912800006754
4,171,Seperate,0.1,0.012589254117941666,0,0.6200016499999492
4,172,Seperate,0.1,0.015848931924611127,1,0.48074350699994284
4,173,Seperate,0.1,0.012589254117941666,1,0.6580935040000213
4,174,Seperate,0.1,0.009999999999999995,0,0.46951258400008555
4,175,Seperate,0.1,0.012589254117941666,1,0.5263016430000107
4,176,Seperate,0.1,0.009999999999999995,0,0.4575093680000464
4,177,Seperate,0.1,0.012589254117941666,0,0.4731408279999414
4,178,Seperate,0.1,0.015848931924611127,1,0.34919564699998773
4,179,Seperate,0.1,0.012589254117941666,0,0.5206140180000602
4,180,Seperate,0.1,0.015848931924611127,0,0.21830619900003967
4,181,Seperate,0.1,0.01995262314968879,0,0.30947232100004385
4,182,Seperate,0.1,0.025118864315095794,0,0.15737718699995185
4,183,Seperate,0.1,0.031622776601683784,1,0.31260849000000235
4,184,Seperate,0.1,0.02511886431509579,1,0.4336365999999998
4,185,Seperate,0.1,0.01995262314968879,1,0.4050753369999711
4,186,Seperate,0.1,0.015848931924611127,1,0.5996131169999899
4,187,Seperate,0.1,0.012589254117941666,0,0.7076034210000444
4,188,Seperate,0.1,0.015848931924611127,1,0.5501807460000236
4,189,Seperate,0.1,0.012589254117941666,0,0.47410078600000816
4,190,Seperate,0.1,0.015848931924611127,1,0.6696114930000476
4,191,Seperate,0.1,0.012589254117941666,0,0.6661786449999454
4,192,Seperate,0.1,0.015848931924611127,1,0.495451753999987
4,193,Seperate,0.1,0.012589254117941666,0,0.4714092529999334
4,194,Seperate,0.1,0.015848931924611127,1,0.5314250850000235
4,195,Seperate,0.1,0.012589254117941666,1,0.6112861490000796
4,196,Seperate_null,0.1,0.00398107170553497,1,0.3989991450000616
4,197,Seperate_null,0.1,0.0031622776601683772,1,0.31166281999992407
4,198,Seperate_null,0.1,0.002511886431509578,1,0.25095370600001843
4,199,Seperate_null,0.1,0.001995262314968878,1,0.2617925419999665
